Matriz A|B: 
25.9912 3.597 9.8469 4.2332 34.7726 27.3573 42.4294 23.7293 32.5902 5.2457 15.5347 30.4976 23.8243 2.6875 3.1043 8.26 22.7991 28.6107 1.9863 22.3779 |40.4554
27.515 11.6134 21.8972 3.9585 47.0922 14.4264 13.874 20.5405 5.8629 9.4681 39.0348 16.536 11.3016 40.0497 3.8644 24.1319 23.7222 43.7957 0.9373 13.2087 |10.1067
24.0127 12.7567 38.8971 27.4739 24.1394 24.671 21.4854 31.284 44.3081 48.467 23.1294 45.4513 15.062 43.9511 35.4743 44.6662 45.4353 20.8848 6.953 39.5928 |48.7878
17.2247 24.1012 39.3125 40.5014 23.8175 28.1473 19.417 34.4578 13.5618 26.2925 20.0502 25.928 30.4854 2.6948 44.9628 11.1522 32.9802 2.6331 31.4438 7.3993 |30.4491
38.301 2.5536 5.3225 11.5662 3.8627 45.2881 38.9639 41.9614 7.9155 1.6839 24.1143 49.5188 2.2456 41.3303 41.1228 0.8342 2.339 40.4997 3.2865 28.6288 |49.0677
29.4035 18.7453 14.1898 14.5555 14.8429 6.2584 40.2102 15.0716 8.5625 16.0001 32.6796 25.9817 3.1318 4.4688 28.8178 28.2966 21.9404 46.9778 6.0105 44.2187 |43.4887
47.4318 27.8799 4.1246 35.6247 29.6943 17.3475 49.8659 17.7255 48.7461 35.9461 0.4752 3.0264 33.6818 27.0865 29.9132 49.8034 12.0512 17.8282 44.7058 0.859 |43.3943
26.0571 42.346 26.8624 31.302 23.3236 38.2144 3.7498 17.4426 43.6287 47.8138 13.9971 20.8457 29.8216 37.2478 27.5096 31.5582 27.0015 19.1845 26.213 24.6012 |30.3153
35.545 33.7343 30.1752 7.1046 5.7773 16.5032 49.2501 34.6238 47.7127 34.9745 16.0034 31.7337 45.7497 37.9706 46.8178 47.497 19.1735 14.9837 27.3104 7.9055 |33.671
36.4029 40.765 27.4499 43.7357 20.4064 24.801 24.0493 4.8495 6.613 39.5465 7.0996 16.5272 2.2924 19.8485 4.6905 8.5942 44.1106 32.1502 3.4548 28.9755 |26.78
20.5734 28.5464 7.9724 9.7784 2.3351 32.5191 25.6488 8.9284 11.9055 45.8057 5.6992 17.495 12.6232 20.0658 30.9219 37.0543 42.1311 17.5571 47.2811 4.5041 |40.7279
16.9235 2.488 16.7162 3.2648 20.8257 19.8963 37.5233 0.8241 20.3117 8.3805 16.4194 23.7695 13.9425 42.4739 37.1793 17.9694 18.9548 40.3722 5.2048 26.7414 |17.5335
24.9236 35.073 19.7356 41.2959 18.8251 13.0565 38.1969 9.8102 6.6108 35.7143 32.8824 43.8445 44.2042 43.6896 49.2848 23.3128 27.369 27.762 38.2494 25.0142 |33.5339
8.1347 49.8483 37.7969 14.2606 32.7716 39.9544 14.6147 3.6723 31.1751 27.1158 25.5338 10.034 46.4516 39.6304 1.1259 46.6044 44.7934 31.5724 32.706 7.3429 |17.1401
27.5424 3.3831 9.471 36.8023 43.4264 41.4315 18.1645 20.452 4.3419 46.0158 14.6602 5.6187 33.4496 8.1363 40.1052 12.5039 17.3538 4.2424 11.4864 3.9262 |0.9459
28.0826 19.5612 6.933 41.8091 20.494 14.9644 33.6951 32.0018 41.491 48.9065 5.843 8.6043 38.8255 5.4775 29.762 12.8112 9.7328 40.4439 2.2981 48.1627 |32.749
32.6374 6.9866 22.8888 11.758 5.123 22.8841 43.3391 21.9157 30.3355 20.726 0.7067 37.361 25.7343 32.7891 42.9858 7.2287 23.7361 49.701 31.2349 44.4439 |5.8962
17.9171 36.9246 13.3357 9.284 11.7589 7.9458 41.5403 13.6596 22.3272 27.6684 1.1278 33.5705 26.3999 40.1055 21.5612 13.2327 22.7153 40.5347 22.6012 2.7225 |34.1086
6.182 29.2679 32.4382 4.7003 14.1065 0.4651 37.9867 40.4509 9.3526 32.5984 47.7834 0.1777 46.9684 47.6789 0.9149 40.5299 39.0676 9.2677 42.9246 28.1954 |36.2167
49.0218 44.2264 49.3287 28.8533 49.3146 2.9371 46.475 42.784 35.5059 10.5379 39.8764 21.7893 33.5127 44.3185 27.8742 29.3751 0.9935 33.8722 38.0926 19.1896 |28.7823


Método de Gauss-Jacobi


 Sistema não oedece aos critérios de convergência suficientes
logo a convergência não é uma certeza 

iteração: 0

iteração: 1
x(k-1).1 = 0.0  x(k).1 = 1.5565037397272923
x(k-1).5 = 3.6807666451572083e+37  x(k).5 = -9.46276982757294e+38
x(k-1).6 = 2.2700250923125386e+37  x(k).6 = -5.835937733143394e+38
x(k-1).7 = 3.2331137255603064e+36  x(k).7 = -8.31191269666521e+37
x(k-1).8 = 1.100286778293462e+37  x(k).8 = -2.828693457383827e+38
x(k-1).9 = 3.382457580463993e+36  x(k).9 = -8.695856222662815e+37
x(k-1).10 = 3.717715362203248e+36  x(k).10 = -9.557760148486334e+37
x(k-1).11 = 2.1652433884139686e+37  x(k).11 = -5.566557671400653e+38
x(k-1).12 = 5.298710402473222e+36  x(k).12 = -1.3622291700437029e+38
x(k-1).13 = 4.091596267637564e+36  x(k).13 = -1.0518959075808819e+38
x(k-1).14 = 5.253124590984311e+36  x(k).14 = -1.350509653890995e+38
x(k-1).15 = 4.1526143032369534e+36  x(k).15 = -1.0675828467941397e+38
x(k-1).16 = 1.1487018983214592e+37  x(k).16 = -2.9531624012659467e+38
x(k-1).17 = 5.379066459639698e+36  x(k).17 = -1.3828876617798768e+38
x(k-1).18 = 2.7411124206228783e+36  x(k).18 = -7.047041665078919e+37
x(k-1).19 = 4.0294642324764876e+36  x(k).19 = -1.0359225736445544e+38
x(k-1).20 = 1.223745194359071e+37  x(k).20 = -3.1460889043466677e+38
dr = 1.0388973494254512  precisão: 1e-10


iteração: 29
x(k-1).1 = -1.4435120128841932e+38  x(k).1 = 3.711080662837351e+39
x(k-1).2 = -3.931257262347091e+38  x(k).2 = 1.0106748455653913e+40
x(k-1).3 = -1.3218497907641168e+38  x(k).3 = 3.398302995677155e+39
x(k-1).4 = -1.0359246179463315e+38  x(k).4 = 2.6632267577299486e+39
x(k-1).5 = -9.46276982757294e+38  x(k).5 = 2.432754408037197e+40
x(k-1).6 = -5.835937733143394e+38  x(k).6 = 1.500343293140907e+40
x(k-1).7 = -8.31191269666521e+37  x(k).7 = 2.1368840857898135e+39
x(k-1).8 = -2.828693457383827e+38  x(k).8 = 7.272201060396594e+39
x(k-1).9 = -8.695856222662815e+37  x(k).9 = 2.2355909467119058e+39
x(k-1).10 = -9.557760148486334e+37  x(k).10 = 2.4571751776568457e+39
x(k-1).11 = -5.566557671400653e+38  x(k).11 = 1.4310892010956321e+40
x(k-1).12 = -1.3622291700437029e+38  x(k).12 = 3.502113100674091e+39
x(k-1).13 = -1.0518959075808819e+38  x(k).13 = 2.70428685532133e+39
x(k-1).14 = -1.350509653890995e+38  x(k).14 = 3.471983756834945e+39
x(k-1).15 = -1.0675828467941397e+38  x(k).15 = 2.744615925155053e+39
x(k-1).16 = -2.9531624012659467e+38  x(k).16 = 7.592194442261008e+39
x(k-1).17 = -1.3828876617798768e+38  x(k).17 = 3.55522338207197e+39
x(k-1).18 = -7.047041665078919e+37  x(k).18 = 1.8117022802761796e+39
x(k-1).19 = -1.0359225736445544e+38  x(k).19 = 2.6632215020973482e+39
x(k-1).20 = -3.1460889043466677e+38  x(k).20 = 8.088183258801005e+39
dr = 1.038897349425451  precisão: 1e-10


iteração: 30
x(k-1).1 = 3.711080662837351e+39  x(k).1 = -9.540703203825841e+40
x(k-1).2 = 1.0106748455653913e+40  x(k).2 = -2.5983128940505416e+41
x(k-1).3 = 3.398302995677155e+39  x(k).3 = -8.73659271357341e+40
x(k-1).4 = 2.6632267577299486e+39  x(k).4 = -6.846807808419347e+40
x(k-1).5 = 2.432754408037197e+40  x(k).5 = -6.254293528919498e+41
x(k-1).6 = 1.500343293140907e+40  x(k).6 = -3.85718645435313e+41
x(k-1).7 = 2.1368840857898135e+39  x(k).7 = -5.493649612000596e+40
x(k-1).8 = 7.272201060396594e+39  x(k).8 = -1.8695878171169874e+41
x(k-1).9 = 2.2355909467119058e+39  x(k).9 = -5.74741204666538e+40
x(k-1).10 = 2.4571751776568457e+39  x(k).10 = -6.317076134882028e+40
x(k-1).11 = 1.4310892010956321e+40  x(k).11 = -3.679143237866095e+41
x(k-1).12 = 3.502113100674091e+39  x(k).12 = -9.003474921565229e+40
x(k-1).13 = 2.70428685532133e+39  x(k).13 = -6.952367951199965e+40
x(k-1).14 = 3.471983756834945e+39  x(k).14 = -8.92601631761359e+40
x(k-1).15 = 2.744615925155053e+39  x(k).15 = -7.056048717188961e+40
x(k-1).16 = 7.592194442261008e+39  x(k).16 = -1.9518539320556673e+41
x(k-1).17 = 3.55522338207197e+39  x(k).17 = -9.140014511491964e+40
x(k-1).18 = 1.8117022802761796e+39  x(k).18 = -4.657649703737279e+40
x(k-1).19 = 2.6632215020973482e+39  x(k).19 = -6.846794296875048e+40
x(k-1).20 = 8.088183258801005e+39  x(k).20 = -2.0793661723152738e+41
dr = 1.0388973494254512  precisão: 1e-10


iteração: 31
x(k-1).1 = -9.540703203825841e+40  x(k).1 = 2.4527900601842056e+42
x(k-1).2 = -2.5983128940505416e+41  x(k).2 = 6.679922751626938e+42
x(k-1).3 = -8.73659271357341e+40  x(k).3 = 2.246063765943116e+42
x(k-1).4 = -6.846807808419347e+40  x(k).4 = 1.760224773552147e+42
x(k-1).5 = -6.254293528919498e+41  x(k).5 = 1.6078970987229313e+43
x(k-1).6 = -3.85718645435313e+41  x(k).6 = 9.916322092191999e+42
x(k-1).7 = -5.493649612000596e+40  x(k).7 = 1.4123454922113572e+42
x(k-1).8 = -1.8695878171169874e+41  x(k).8 = 4.806465851099063e+42
x(k-1).9 = -5.74741204666538e+40  x(k).9 = 1.4775844965170706e+42
x(k-1).10 = -6.317076134882028e+40  x(k).10 = 1.6240376859068614e+42
x(k-1).11 = -3.679143237866095e+41  x(k).11 = 9.458596259668975e+42
x(k-1).12 = -9.003474921565229e+40  x(k).12 = 2.3146756924455405e+42
x(k-1).13 = -6.952367951199965e+40  x(k).13 = 1.7873629061858187e+42
x(k-1).14 = -8.92601631761359e+40  x(k).14 = 2.2947620980500942e+42
x(k-1).15 = -7.056048717188961e+40  x(k).15 = 1.8140178756170146e+42
x(k-1).16 = -1.9518539320556673e+41  x(k).16 = 5.017961277275461e+42
x(k-1).17 = -9.140014511491964e+40  x(k).17 = 2.349778235920494e+42
x(k-1).18 = -4.657649703737279e+40  x(k).18 = 1.197420845516457e+42
x(k-1).19 = -6.846794296875048e+40  x(k).19 = 1.7602212999107544e+42
x(k-1).20 = -2.0793661723152738e+41  x(k).20 = 5.345778576251036e+42
dr = 1.0388973494254512  precisão: 1e-10


iteração: 32
x(k-1).1 = 2.4527900601842056e+42  x(k).1 = -6.305802571162618e+43
x(k-1).2 = 6.679922751626938e+42  x(k).2 = -1.7173208072774647e+44
x(k-1).3 = 2.246063765943116e+42  x(k).3 = -5.774336295710372e+43
x(k-1).4 = 1.760224773552147e+42  x(k).4 = -4.525307764030842e+43
x(k-1).5 = 1.6078970987229313e+43  x(k).5 = -4.133693227104204e+44
x(k-1).6 = 9.916322092191999e+42  x(k).6 = -2.54935676560614e+44
x(k-1).7 = 1.4123454922113572e+42  x(k).7 = -3.630955612845017e+43
x(k-1).8 = 4.806465851099063e+42  x(k).8 = -1.2356795314063527e+44
x(k-1).9 = 1.4775844965170706e+42  x(k).9 = -3.798676563679332e+43
x(k-1).10 = 1.6240376859068614e+42  x(k).10 = -4.1751885665613706e+43
x(k-1).11 = 9.458596259668975e+42  x(k).11 = -2.4316814382935996e+44
x(k-1).12 = 2.3146756924455405e+42  x(k).12 = -5.950728588542364e+43
x(k-1).13 = 1.7873629061858187e+42  x(k).13 = -4.595076355039036e+43
x(k-1).14 = 2.2947620980500942e+42  x(k).14 = -5.899533340820891e+43
x(k-1).15 = 1.8140178756170146e+42  x(k).15 = -4.663602796621597e+43
x(k-1).16 = 5.017961277275461e+42  x(k).16 = -1.2900522404213307e+44
x(k-1).17 = 2.349778235920494e+42  x(k).17 = -6.040972638570064e+43
x(k-1).18 = 1.197420845516457e+42  x(k).18 = -3.078412445072583e+43
x(k-1).19 = 1.7602212999107544e+42  x(k).19 = -4.52529883375296e+43
x(k-1).20 = 5.345778576251036e+42  x(k).20 = -1.3743297821607375e+44
dr = 1.0388973494254512  precisão: 1e-10


iteração: 33
x(k-1).1 = -6.305802571162618e+43  x(k).1 = 1.6211394000632416e+45
x(k-1).2 = -1.7173208072774647e+44  x(k).2 = 4.415007275929691e+45
x(k-1).3 = -5.774336295710372e+43  x(k).3 = 1.484506368943518e+45
x(k-1).4 = -4.525307764030842e+43  x(k).4 = 1.1633974630337823e+45
x(k-1).5 = -4.133693227104204e+44  x(k).5 = 1.0627184854913185e+46
x(k-1).6 = -2.54935676560614e+44  x(k).6 = 6.554062945836755e+45
x(k-1).7 = -3.630955612845017e+43  x(k).7 = 9.334712175707336e+44
x(k-1).8 = -1.2356795314063527e+44  x(k).8 = 3.1767705246204465e+45
x(k-1).9 = -3.798676563679332e+43  x(k).9 = 9.765900812752548e+44
x(k-1).10 = -4.1751885665613706e+43  x(k).10 = 1.0733863947627956e+45
x(k-1).11 = -2.4316814382935996e+44  x(k).11 = 6.251535063986936e+45
x(k-1).12 = -5.950728588542364e+43  x(k).12 = 1.5298545213080018e+45
x(k-1).13 = -4.595076355039036e+43  x(k).13 = 1.1813340556393815e+45
x(k-1).14 = -5.899533340820891e+43  x(k).14 = 1.51669289243671e+45
x(k-1).15 = -4.663602796621597e+43  x(k).15 = 1.1989513078672982e+45
x(k-1).16 = -1.2900522404213307e+44  x(k).16 = 3.3165556509031146e+45
x(k-1).17 = -6.040972638570064e+43  x(k).17 = 1.5530550867348712e+45
x(k-1).18 = -3.078412445072583e+43  x(k).18 = 7.91419592991169e+44
x(k-1).19 = -4.52529883375296e+43  x(k).19 = 1.163395167176092e+45
x(k-1).20 = -1.3743297821607375e+44  x(k).20 = 3.5332221924136856e+45
dr = 1.0388973494254512  precisão: 1e-10


iteração: 34
x(k-1).1 = 1.6211394000632416e+45  x(k).1 = -4.167737452574351e+46
x(k-1).2 = 4.415007275929691e+45  x(k).2 = -1.135040649592664e+47
x(k-1).3 = 1.484506368943518e+45  x(k).3 = -3.8164717927339856e+46
x(k-1).4 = 1.1633974630337823e+45  x(k).4 = -2.9909427768683727e+46
x(k-1).5 = 1.0627184854913185e+46  x(k).5 = -2.7321102882037633e+47
x(k-1).6 = 6.554062945836755e+45  x(k).6 = -1.6849638966783502e+47
x(k-1).7 = 9.334712175707336e+44  x(k).7 = -2.3998324599463545e+46
x(k-1).8 = 3.1767705246204465e+45  x(k).8 = -8.167061693262407e+46
x(k-1).9 = 9.765900812752548e+44  x(k).9 = -2.5106854212442977e+46
x(k-1).10 = 1.0733863947627956e+45  x(k).10 = -2.759536088236546e+46
x(k-1).11 = 6.251535063986936e+45  x(k).11 = -1.6071879334524673e+47
x(k-1).12 = 1.5298545213080018e+45  x(k).12 = -3.9330559637233114e+46
x(k-1).13 = 1.1813340556393815e+45  x(k).13 = -3.037055411457974e+46
x(k-1).14 = 1.51669289243671e+45  x(k).14 = -3.8992191366240345e+46
x(k-1).15 = 1.1989513078672982e+45  x(k).15 = -3.0823470636865693e+46
x(k-1).16 = 3.3165556509031146e+45  x(k).16 = -8.526430977667185e+46
x(k-1).17 = 1.5530550867348712e+45  x(k).17 = -3.9927015842336106e+46
x(k-1).18 = 7.91419592991169e+44  x(k).18 = -2.0346363047383644e+46
x(k-1).19 = 1.163395167176092e+45  x(k).19 = -2.990936874518406e+46
x(k-1).20 = 3.5332221924136856e+45  x(k).20 = -9.083452329278361e+46
dr = 1.0388973494254512  precisão: 1e-10


iteração: 35
x(k-1).1 = -4.167737452574351e+46  x(k).1 = 1.0714708107713206e+48
x(k-1).2 = -1.135040649592664e+47  x(k).2 = 2.9180411168324724e+48
x(k-1).3 = -3.8164717927339856e+46  x(k).3 = 9.811650020134296e+47
x(k-1).4 = -2.9909427768683727e+46  x(k).4 = 7.689322848593255e+47
x(k-1).5 = -2.7321102882037633e+47  x(k).5 = 7.023898359552749e+48
x(k-1).6 = -1.6849638966783502e+47  x(k).6 = 4.331821889066436e+48
x(k-1).7 = -2.3998324599463545e+46  x(k).7 = 6.1696555045370424e+47
x(k-1).8 = -8.167061693262407e+46  x(k).8 = 2.099644786572159e+48
x(k-1).9 = -2.5106854212442977e+46  x(k).9 = 6.45464397530778e+47
x(k-1).10 = -2.759536088236546e+46  x(k).10 = 7.094406505834915e+47
x(k-1).11 = -1.6071879334524673e+47  x(k).11 = 4.131870055908896e+48
x(k-1).12 = -3.9330559637233114e+46  x(k).12 = 1.0111372681733036e+48
x(k-1).13 = -3.037055411457974e+46  x(k).13 = 7.807872403436264e+47
x(k-1).14 = -3.8992191366240345e+46  x(k).14 = 1.0024382623029615e+48
x(k-1).15 = -3.0823470636865693e+46  x(k).15 = 7.924311319962953e+47
x(k-1).16 = -8.526430977667185e+46  x(k).16 = 2.1920339312601602e+48
x(k-1).17 = -3.9927015842336106e+46  x(k).17 = 1.0264713774098763e+48
x(k-1).18 = -2.0346363047383644e+46  x(k).18 = 5.230783934617073e+47
x(k-1).19 = -2.990936874518406e+46  x(k).19 = 7.689307674423154e+47
x(k-1).20 = -9.083452329278361e+46  x(k).20 = 2.3352368383576577e+48
dr = 1.0388973494254512  precisão: 1e-10


iteração: 36
x(k-1).1 = 1.0714708107713206e+48  x(k).1 = -2.7546113722346345e+49
x(k-1).2 = 2.9180411168324724e+48  x(k).2 = -7.501902211679111e+49
x(k-1).3 = 9.811650020134296e+47  x(k).3 = -2.5224469443448443e+49
x(k-1).4 = 7.689322848593255e+47  x(k).4 = -1.976824375483541e+49
x(k-1).5 = 7.023898359552749e+48  x(k).5 = -1.8057524389970134e+50
x(k-1).6 = 4.331821889066436e+48  x(k).6 = -1.1136547741816198e+50
x(k-1).7 = 6.1696555045370424e+47  x(k).7 = -1.5861377691972347e+49
x(k-1).8 = 2.099644786572159e+48  x(k).8 = -5.397912242314199e+49
x(k-1).9 = 6.45464397530778e+47  x(k).9 = -1.6594045791419408e+49
x(k-1).10 = 7.094406505834915e+47  x(k).10 = -1.8238791615947312e+49
x(k-1).11 = 4.131870055908896e+48  x(k).11 = -1.0622497720128325e+50
x(k-1).12 = 1.0111372681733036e+48  x(k).12 = -2.5995017221191446e+49
x(k-1).13 = 7.807872403436264e+47  x(k).13 = -2.0073019161371052e+49
x(k-1).14 = 1.0024382623029615e+48  x(k).14 = -2.5771377153196206e+49
x(k-1).15 = 7.924311319962953e+47  x(k).15 = -2.0372368392736682e+49
x(k-1).16 = 2.1920339312601602e+48  x(k).16 = -5.63543265450853e+49
x(k-1).17 = 1.0264713774098763e+48  x(k).17 = -2.638923712211197e+49
x(k-1).18 = 5.230783934617073e+47  x(k).18 = -1.3447661632168923e+49
x(k-1).19 = 7.689307674423154e+47  x(k).19 = -1.9768204744027923e+49
x(k-1).20 = 2.3352368383576577e+48  x(k).20 = -6.003588606553421e+49
dr = 1.0388973494254512  precisão: 1e-10


iteração: 37
x(k-1).1 = -2.7546113722346345e+49  x(k).1 = 7.081745704842936e+50
x(k-1).2 = -7.501902211679111e+49  x(k).2 = 1.928640980038218e+51
x(k-1).3 = -2.5224469443448443e+49  x(k).3 = 6.484881313517903e+50
x(k-1).4 = -1.976824375483541e+49  x(k).4 = 5.082157022735522e+50
x(k-1).5 = -1.8057524389970134e+50  x(k).5 = 4.6423534396806e+51
x(k-1).6 = -1.1136547741816198e+50  x(k).6 = 2.8630608271033944e+51
x(k-1).7 = -1.5861377691972347e+49  x(k).7 = 4.077752835671111e+50
x(k-1).8 = -5.397912242314199e+49  x(k).8 = 1.3877326661189568e+51
x(k-1).9 = -1.6594045791419408e+49  x(k).9 = 4.26611222526172e+50
x(k-1).10 = -1.8238791615947312e+49  x(k).10 = 4.6889548736226695e+50
x(k-1).11 = -1.0622497720128325e+50  x(k).11 = 2.7309052871293736e+51
x(k-1).12 = -2.5995017221191446e+49  x(k).12 = 6.682979073165973e+50
x(k-1).13 = -2.0073019161371052e+49  x(k).13 = 5.160510795174377e+50
x(k-1).14 = -2.5771377153196206e+49  x(k).14 = 6.625484135516335e+50
x(k-1).15 = -2.0372368392736682e+49  x(k).15 = 5.2374695689179074e+50
x(k-1).16 = -5.63543265450853e+49  x(k).16 = 1.448796058792936e+51
x(k-1).17 = -2.638923712211197e+49  x(k).17 = 6.784327855729183e+50
x(k-1).18 = -1.3447661632168923e+49  x(k).18 = 3.4572179932059587e+50
x(k-1).19 = -1.9768204744027923e+49  x(k).19 = 5.08214699356694e+50
x(k-1).20 = -6.003588606553421e+49  x(k).20 = 1.5434441408558236e+51
dr = 1.0388973494254512  precisão: 1e-10


iteração: 38
x(k-1).1 = 7.081745704842936e+50  x(k).1 = -1.8206242351848363e+52
x(k-1).2 = 1.928640980038218e+51  x(k).2 = -4.958283812460183e+52
x(k-1).3 = 6.484881313517903e+50  x(k).3 = -1.6671782034779837e+52
x(k-1).4 = 5.082157022735522e+50  x(k).4 = -1.306556127294932e+52
x(k-1).5 = 4.6423534396806e+51  x(k).5 = -1.1934883760082206e+53
x(k-1).6 = 2.8630608271033944e+51  x(k).6 = -7.360555074814559e+52
x(k-1).7 = 4.077752835671111e+50  x(k).7 = -1.0483369422089651e+52
x(k-1).8 = 1.3877326661189568e+51  x(k).8 = -3.567679254800176e+52
x(k-1).9 = 4.26611222526172e+50  x(k).9 = -1.0967616786943163e+52
x(k-1).10 = 4.6889548736226695e+50  x(k).10 = -1.2054689954155626e+52
x(k-1).11 = 2.7309052871293736e+51  x(k).11 = -7.020800459330267e+52
x(k-1).12 = 6.682979073165973e+50  x(k).12 = -1.7181065475873254e+52
x(k-1).13 = 5.160510795174377e+50  x(k).13 = -1.326699857805163e+52
x(k-1).14 = 6.625484135516335e+50  x(k).14 = -1.7033253507965702e+52
x(k-1).15 = 5.2374695689179074e+50  x(k).15 = -1.3464849523887982e+52
x(k-1).16 = 1.448796058792936e+51  x(k).16 = -3.724665254041618e+52
x(k-1).17 = 6.784327855729183e+50  x(k).17 = -1.7441619945677043e+52
x(k-1).18 = 3.4572179932059587e+50  x(k).18 = -8.888055469774111e+51
x(k-1).19 = 5.08214699356694e+50  x(k).19 = -1.3065535489268096e+52
x(k-1).20 = 1.5434441408558236e+51  x(k).20 = -3.967993098897181e+52
dr = 1.038897349425451  precisão: 1e-10


iteração: 39
x(k-1).1 = -1.8206242351848363e+52  x(k).1 = 4.680586883366334e+53
x(k-1).2 = -4.958283812460183e+52  x(k).2 = 1.2747099444302753e+54
x(k-1).3 = -1.6671782034779837e+52  x(k).3 = 4.2860971971193565e+53
x(k-1).4 = -1.306556127294932e+52  x(k).4 = 3.3589849863652468e+53
x(k-1).5 = -1.1934883760082206e+53  x(k).5 = 3.068302580091235e+54
x(k-1).6 = -7.360555074814559e+52  x(k).6 = 1.8923024790985965e+54
x(k-1).7 = -1.0483369422089651e+52  x(k).7 = 2.695137220643168e+53
x(k-1).8 = -3.567679254800176e+52  x(k).8 = 9.172036931816717e+53
x(k-1).9 = -1.0967616786943163e+52  x(k).9 = 2.8196308871799063e+53
x(k-1).10 = -1.2054689954155626e+52  x(k).10 = 3.099103186261851e+53
x(k-1).11 = -7.020800459330267e+52  x(k).11 = 1.8049560093512303e+54
x(k-1).12 = -1.7181065475873254e+52  x(k).12 = 4.4170273115400015e+53
x(k-1).13 = -1.326699857805163e+52  x(k).13 = 3.4107718839502273e+53
x(k-1).14 = -1.7033253507965702e+52  x(k).14 = 4.37902678705932e+53
x(k-1).15 = -1.3464849523887982e+52  x(k).15 = 3.46163677545538e+53
x(k-1).16 = -3.724665254041618e+52  x(k).16 = 9.575627411785829e+53
x(k-1).17 = -1.7441619945677043e+52  x(k).17 = 4.48401245928205e+53
x(k-1).18 = -8.888055469774111e+51  x(k).18 = 2.2850028603641857e+53
x(k-1).19 = -1.3065535489268096e+52  x(k).19 = 3.358978357717893e+53
x(k-1).20 = -3.967993098897181e+52  x(k).20 = 1.0201191488643849e+54
dr = 1.0388973494254512  precisão: 1e-10


Método não convergiu
